name,website,stage,focus_areas,location,check_size
Altimeter Capital,https://www.altimetercap.com,Growth,"Technology Enterprise",Menlo Park CA,
Addition,https://www.addition.com,Growth,"Technology Consumer",New York NY,
Lone Pine Capital,https://www.lonepinecapital.com,Growth,"Technology Consumer",Greenwich CT,
Durable Capital Partners,https://www.durablecapital.com,Growth,"Technology Consumer",Baltimore MD,
Alkeon Capital,https://www.alkeoncapital.com,Growth,"Technology Healthcare",New York NY,
Spark Capital,https://www.sparkcapital.com,Seed Series A Series B,"Consumer Technology",Boston MA,
Accomplice,https://www.accomplice.co,Pre-Seed Seed Series A,"Technology SaaS",Boston MA,
Pillar VC,https://www.pillar.vc,Pre-Seed Seed,"Technology SaaS",Boston MA,
Underscore VC,https://underscore.vc,Seed Series A,"SaaS Enterprise",Boston MA,
Romulus Capital,https://www.romuluscapital.com,Pre-Seed Seed,"Technology Deep Tech",Boston MA,
Founder Collective,https://www.foundercollective.com,Pre-Seed Seed,"Technology Consumer",Boston MA,
NextView Ventures,https://nextviewventures.com,Pre-Seed Seed,"Consumer Technology",Boston MA,
Volition Capital,https://www.volitioncapital.com,Growth,"SaaS Technology",Boston MA,
Glasswing Ventures,https://glasswing.vc,Seed Series A,"AI Enterprise",Boston MA,
Hyperplane Venture Capital,https://hyperplane.vc,Seed Series A,"AI Deep Tech",Boston MA,
Fika Ventures,https://www.fikaventures.com,Pre-Seed Seed,"Technology SaaS",Los Angeles CA,
Bonfire Ventures,https://www.bonfirevc.com,Seed,"SaaS B2B",Los Angeles CA,
M13,https://m13.co,Seed Series A,"Consumer Technology",Los Angeles CA,
TenOneTen Ventures,https://www.tenonetenventures.com,Pre-Seed Seed,"Technology AI",Los Angeles CA,
Susa Ventures,https://www.susaventures.com,Pre-Seed Seed,"AI Data Enterprise",San Francisco CA,
Amplify Partners,https://www.amplifypartners.com,Seed Series A,"Enterprise Infrastructure",San Francisco CA,
Soma Capital,https://www.somacap.com,Pre-Seed Seed,"Technology Consumer",San Francisco CA,
Pioneer Fund,https://pioneerfund.vc,Pre-Seed Seed,"Technology AI",San Francisco CA,
Liquid 2 Ventures,https://www.liquid2.vc,Pre-Seed Seed,"Technology Consumer",San Francisco CA,
Chapter One,https://www.chapterone.com,Pre-Seed Seed,"Consumer Technology",San Francisco CA,
Pear VC,https://pear.vc,Pre-Seed Seed,"Technology SaaS",Palo Alto CA,
DCVC,https://www.dcvc.com,Seed Series A Series B,"Deep Tech AI Climate",Palo Alto CA,
Mayfield Fund,https://www.mayfield.com,Seed Series A Series B,"Enterprise Consumer AI",Menlo Park CA,
Menlo Ventures,https://www.menlovc.com,Seed Series A Series B,"Enterprise Consumer Cybersecurity",Menlo Park CA,
Foundation Capital,https://foundationcap.com,Seed Series A Series B,"Enterprise Consumer Fintech",Menlo Park CA,
SignalFire,https://www.signalfire.com,Seed Series A Series B,"Technology AI Data",San Francisco CA,
Haystack,https://haystack.vc,Pre-Seed Seed,"Technology Consumer",San Francisco CA,
Correlation Ventures,https://correlationvc.com,Seed Series A,"Technology SaaS",San Diego CA,
Paladin Capital Group,https://www.paladincapgroup.com,Seed Series A Series B,"Cybersecurity Defense",Washington DC,
Revolution,https://revolution.com,Seed Series A Growth,"Technology Consumer",Washington DC,
Grotech Ventures,https://www.inteltechniques.com,Seed Series A,"Technology SaaS",Washington DC,
Blu Venture Investors,https://bluventureinvestors.com,Seed Series A,"Technology Healthcare",Washington DC,
ATX Venture Partners,https://atxvp.com,Seed Series A,"Technology SaaS",Austin TX,
LiveOak Venture Partners,https://liveoakvp.com,Seed Series A,"Technology Enterprise",Austin TX,
Silverton Partners,https://silvertonpartners.com,Seed Series A,"Technology Consumer",Austin TX,
S3 Ventures,https://s3vc.com,Seed Series A Series B,"Technology Enterprise",Austin TX,
Mercury Fund,https://mercuryfund.com,Seed Series A,"Technology Enterprise SaaS",Houston TX,
Elsewhere Partners,https://elsewhere.partners,Growth,"Technology SaaS",Austin TX,
Chicago Ventures,https://chicagoventures.com,Seed Series A,"Technology SaaS",Chicago IL,
Hyde Park Venture Partners,https://hydeparkvp.com,Seed Series A,"Technology B2B SaaS",Chicago IL,
M25,https://m25.vc,Pre-Seed Seed,"Technology SaaS",Chicago IL,
MATH Venture Partners,https://mathvp.com,Seed Series A,"Technology Consumer",Chicago IL,
Jump Capital,https://jumpcap.com,Seed Series A,"Fintech Crypto Infrastructure",Chicago IL,
Pritzker Group Venture Capital,https://www.pritzkergroup.com,Seed Series A Series B,"Technology Healthcare",Chicago IL,
Drive Capital,https://drivecapital.com,Seed Series A Series B,"Technology SaaS",Columbus OH,
Rev1 Ventures,https://rev1ventures.com,Pre-Seed Seed,"Technology Healthcare",Columbus OH,
Motley Fool Ventures,https://ventures.fool.com,Seed Series A,"Technology Consumer",Alexandria VA,
Sievert Larsen,https://www.sievertlarsen.com,Seed Series A,"Technology Consumer",Miami FL,
Starlight Ventures,https://starlightventures.com,Seed Series A,"Technology Consumer",Miami FL,
Fuel Venture Capital,https://fuelventurecapital.com,Seed Series A,"Technology Consumer",Miami FL,
Las Olas Venture Capital,https://lasolasvc.com,Seed Series A,"Technology Consumer",Fort Lauderdale FL,
Techstars,https://www.techstars.com,Pre-Seed Seed,"Technology Consumer SaaS",Boulder CO,
Matchstick Ventures,https://matchstickventures.com,Pre-Seed Seed,"Technology SaaS",Denver CO,
Access Venture Partners,https://www.accessvp.com,Seed Series A,"Technology Consumer",Denver CO,
Foundry Group,https://www.foundrygroup.com,Seed Series A Series B,"Technology SaaS",Boulder CO,
Rally Ventures,https://www.rallyventures.com,Seed Series A,"Enterprise SaaS Security",Menlo Park CA,
Two Sigma Ventures,https://www.twosigmaventures.com,Seed Series A,"AI Data Technology",New York NY,
Picus Capital,https://www.picuscap.com,Pre-Seed Seed Series A,"Technology SaaS",Munich Germany,
Cherry Ventures,https://www.cherry.vc,Pre-Seed Seed,"Technology Consumer SaaS",Berlin Germany,
Point Nine Capital,https://www.pointnine.com,Seed Series A,"SaaS Marketplace B2B",Berlin Germany,
Project A Ventures,https://www.project-a.com,Seed Series A,"Technology E-commerce SaaS",Berlin Germany,
Earlybird Venture Capital,https://earlybird.com,Seed Series A Series B,"Technology Enterprise",Berlin Germany,
HV Capital,https://www.hvcapital.com,Seed Series A Series B,"Technology Enterprise Consumer",Munich Germany,
Lakestar,https://www.lakestar.com,Seed Series A Series B,"Technology Consumer Enterprise",Zurich Switzerland,
Balderton Capital,https://www.balderton.com,Series A Series B,"Technology Enterprise Consumer",London UK,
Atomico,https://www.atomico.com,Series A Series B,"Technology Consumer Enterprise",London UK,
LocalGlobe,https://www.localglobe.vc,Pre-Seed Seed,"Technology Consumer",London UK,
Seedcamp,https://seedcamp.com,Pre-Seed Seed,"Technology SaaS",London UK,
Passion Capital,https://www.passioncapital.com,Pre-Seed Seed,"Technology Consumer",London UK,
Mosaic Ventures,https://www.mosaicventures.com,Series A,"Technology Deep Tech",London UK,
Hoxton Ventures,https://www.hoxtonventures.com,Pre-Seed Seed,"Technology Consumer",London UK,
Episode 1 Ventures,https://www.episode1.com,Pre-Seed Seed,"Technology SaaS",London UK,
Stride VC,https://stride.vc,Pre-Seed Seed,"Technology SaaS",London UK,
Northzone,https://northzone.com,Seed Series A Series B,"Technology Consumer Fintech",London UK,
Creandum,https://creandum.com,Seed Series A Series B,"Technology SaaS Consumer",Stockholm Sweden,
EQT Ventures,https://eqtventures.com,Seed Series A,"Technology SaaS Consumer",Stockholm Sweden,
Verdane,https://verdane.com,Growth,"Technology Sustainability",Oslo Norway,
byFounders,https://byfounders.com,Pre-Seed Seed,"Technology SaaS",Copenhagen Denmark,
Partech Partners,https://partechpartners.com,Seed Series A Series B Growth,"Technology SaaS Consumer",Paris France,
Eurazeo,https://www.eurazeo.com,Series A Growth,"Technology Consumer",Paris France,
Idinvest Partners,https://www.idinvest.com,Seed Series A Growth,"Technology SaaS",Paris France,
Elaia Partners,https://www.elaia.com,Seed Series A,"Technology Deep Tech",Paris France,
Kima Ventures,https://www.kimaventures.com,Pre-Seed Seed,"Technology Consumer",Paris France,
Notion Capital,https://notion.vc,Seed Series A,"SaaS Enterprise B2B",London UK,
Dawn Capital,https://dawncapital.com,Series A Series B,"SaaS Enterprise B2B",London UK,
83North,https://www.83north.com,Series A Series B,"Technology SaaS Enterprise",London UK,
Acton Capital,https://www.actoncapital.com,Series A Series B,"Technology Consumer Marketplace",Munich Germany,
Headline,https://headline.com,Seed Series A Series B,"Technology SaaS Consumer",Berlin Germany,
Global Founders Capital,https://www.globalfounderscapital.com,Seed Series A,"Technology Consumer SaaS",Berlin Germany,
Inventures,https://inventures.vc,Seed Series A,"Technology Consumer",Vienna Austria,
Speedinvest,https://www.speedinvest.com,Pre-Seed Seed,"Technology Fintech Deep Tech",Vienna Austria,
Peak Capital,https://peak.capital,Pre-Seed Seed,"Technology SaaS Marketplace",Amsterdam Netherlands,
Keen Venture Partners,https://keenventurepartners.com,Seed Series A,"Technology SaaS",Amsterdam Netherlands,
Volta Ventures,https://volta.ventures,Pre-Seed Seed,"Technology SaaS",Belgium,
Singular,https://singular.vc,Pre-Seed Seed Series A,"Technology SaaS",Lisbon Portugal,
Indico Capital Partners,https://www.indicocapital.com,Seed Series A,"Technology SaaS",Lisbon Portugal,
Kfund,https://www.kfrund.com,Seed Series A,"Technology SaaS",Madrid Spain,
Samaipata,https://www.samaipata.vc,Seed Series A,"Technology Marketplace Consumer",Madrid Spain,
JME Ventures,https://jmeventures.com,Seed Series A,"Technology SaaS",Madrid Spain,
Viola Ventures,https://www.viola-group.com,Seed Series A Series B,"Technology Cybersecurity AI",Tel Aviv Israel,
OurCrowd,https://www.ourcrowd.com,Seed Series A Series B,"Technology Healthcare AI",Jerusalem Israel,
Pitango Venture Capital,https://www.pitango.com,Seed Series A Series B,"Technology Healthcare Enterprise",Tel Aviv Israel,
TLV Partners,https://www.tlv.partners,Seed Series A,"Technology SaaS Enterprise",Tel Aviv Israel,
Vertex Ventures Israel,https://www.vertexventures.co.il,Seed Series A,"Technology Cybersecurity",Tel Aviv Israel,
Aleph,https://aleph.vc,Seed Series A Series B,"Technology SaaS Consumer",Tel Aviv Israel,
Entrée Capital,https://www.entreecap.com,Seed Series A Series B,"Technology Consumer Enterprise",Tel Aviv Israel,
Grove Ventures,https://www.grovevc.com,Seed Series A,"Deep Tech AI Industrial",Tel Aviv Israel,
iAngels,https://www.iangels.com,Seed Series A,"Technology Healthcare",Tel Aviv Israel,
StageOne Ventures,https://www.stageonevc.com,Pre-Seed Seed,"Technology Deep Tech",Tel Aviv Israel,
Wamda Capital,https://www.wamda.com,Seed Series A,"Technology Consumer",Dubai UAE,
BECO Capital,https://www.becocapital.com,Seed Series A,"Technology Consumer Fintech",Dubai UAE,
Global Ventures,https://www.global.vc,Seed Series A,"Technology Fintech",Dubai UAE,
Shorooq Partners,https://shorooqpartners.com,Seed Series A,"Technology Fintech",Abu Dhabi UAE,
500 Global,https://500.co,Pre-Seed Seed,"Technology Consumer SaaS",San Francisco CA,
Golden Gate Ventures,https://goldengate.vc,Seed Series A,"Technology Consumer Fintech",Singapore,
Jungle Ventures,https://www.jungleventures.com,Seed Series A Series B,"Technology Consumer SaaS",Singapore,
Vertex Ventures SE Asia,https://www.vertexventures.com,Seed Series A,"Technology Consumer",Singapore,
East Ventures,https://east.vc,Pre-Seed Seed,"Technology Consumer",Jakarta Indonesia,
Alpha JWC Ventures,https://www.alphajwc.com,Seed Series A Series B,"Technology Consumer Fintech",Jakarta Indonesia,
Openspace Ventures,https://www.openspace.vc,Seed Series A,"Technology Consumer",Singapore,
Wavemaker Partners,https://wavemaker.vc,Seed Series A,"Technology Enterprise Deep Tech",Singapore,
Sequoia Capital India,https://www.sequoiacap.com/india,Seed Series A Series B,"Technology Consumer Enterprise",Bangalore India,
Accel India,https://www.accel.com/india,Seed Series A Series B,"SaaS Consumer Fintech",Bangalore India,
Matrix Partners India,https://www.matrixpartners.in,Seed Series A,"Consumer Technology SaaS",Mumbai India,
Blume Ventures,https://www.blumeventures.com,Pre-Seed Seed,"Technology Consumer",Mumbai India,
Kalaari Capital,https://www.kalaari.com,Seed Series A,"Technology Consumer Enterprise",Bangalore India,
Chiratae Ventures,https://www.chiratae.com,Seed Series A Series B,"Technology Healthcare Consumer",Bangalore India,
3one4 Capital,https://3one4capital.com,Seed Series A,"Technology SaaS Consumer",Bangalore India,
Stellaris Venture Partners,https://www.stellarisvp.com,Seed Series A,"Technology SaaS Consumer",Bangalore India,
Lightspeed India,https://www.lsip.com,Seed Series A Series B,"Technology Consumer SaaS",Bangalore India,
Nexus Venture Partners,https://nexusvp.com,Seed Series A Series B,"Technology Consumer Enterprise",Mumbai India,
JAFCO Asia,https://www.jafcoasia.com,Seed Series A Series B,"Technology Consumer",Tokyo Japan,
Global Brain,https://globalbrains.com,Seed Series A,"Technology Consumer AI",Tokyo Japan,
DNX Ventures,https://www.dnx.vc,Seed Series A,"SaaS Enterprise B2B",Tokyo Japan,
SoftBank Ventures Asia,https://softbank-va.com,Seed Series A,"Technology AI Consumer",Seoul South Korea,
Altos Ventures,https://www.altosventures.com,Seed Series A,"Technology SaaS Consumer",Menlo Park CA,
Monashees,https://www.monashees.com.br,Seed Series A Series B,"Technology Consumer Fintech",Sao Paulo Brazil,
Kaszek,https://www.kaszek.com,Seed Series A Series B,"Technology Consumer Fintech",Buenos Aires Argentina,
ALLVP,https://allvp.vc,Seed Series A,"Technology Consumer",Mexico City Mexico,
Magma Partners,https://magmapartners.com,Pre-Seed Seed,"Technology Consumer",Santiago Chile,
NXTP Ventures,https://www.nxtpventures.com,Seed Series A,"Technology Fintech",Buenos Aires Argentina,
Canary,https://canary.com.br,Seed Series A,"Technology Consumer SaaS",Sao Paulo Brazil,
Valor Capital Group,https://valorcapitalgroup.com,Series A Series B,"Technology Fintech",New York NY,
QED Investors,https://www.qedinvestors.com,Seed Series A Series B,"Fintech Consumer",Alexandria VA,
Ribbit Capital,https://www.ribbitcap.com,Seed Series A Series B,"Fintech Consumer",Palo Alto CA,
Nyca Partners,https://www.nycapartners.com,Seed Series A,"Fintech Infrastructure",New York NY,
Valar Ventures,https://www.valarventures.com,Seed Series A,"Fintech Technology",New York NY,
FinCapital,https://fincapital.com,Seed Series A,"Fintech Infrastructure",San Francisco CA,
Clocktower Technology Ventures,https://www.clocktower.com,Seed Series A,"Fintech Infrastructure",Santa Monica CA,
a]6z Crypto,https://a16zcrypto.com,Seed Series A,"Crypto Web3 DeFi",Menlo Park CA,
Paradigm,https://www.paradigm.xyz,Seed Series A,"Crypto Web3 DeFi",San Francisco CA,
Polychain Capital,https://polychain.capital,Seed Series A,"Crypto DeFi Infrastructure",San Francisco CA,
Multicoin Capital,https://multicoin.capital,Seed Series A,"Crypto DeFi Web3",Austin TX,
Pantera Capital,https://panteracapital.com,Seed Series A,"Crypto DeFi Blockchain",Menlo Park CA,
Electric Capital,https://www.electriccapital.com,Seed Series A,"Crypto Developer Tools Web3",San Francisco CA,
Dragonfly Capital,https://www.dragonfly.xyz,Seed Series A,"Crypto DeFi Web3",San Francisco CA,
Framework Ventures,https://framework.ventures,Seed Series A,"Crypto DeFi Gaming",San Francisco CA,
Variant Fund,https://variant.fund,Seed Series A,"Crypto Web3 Consumer",New York NY,
Hack VC,https://hack.vc,Seed Series A,"Crypto Infrastructure AI",San Francisco CA,
Breyer Capital,https://breyercapital.com,Seed Series A Growth,"Technology Consumer",Menlo Park CA,
GV (Google Ventures),https://www.gv.com,Seed Series A Series B,"Technology AI Healthcare",Mountain View CA,
Intel Capital,https://www.intelcapital.com,Seed Series A Series B,"Technology AI Semiconductor",Santa Clara CA,
Salesforce Ventures,https://www.salesforceventures.com,Series A Series B,"Enterprise SaaS Cloud",San Francisco CA,
Cisco Investments,https://www.cisco.com/c/en/us/about/corporate-strategy-office/investments.html,Series A Series B,"Enterprise Cybersecurity Cloud",San Jose CA,
Samsung NEXT,https://www.samsungnext.com,Seed Series A,"Technology AI Consumer",San Francisco CA,
Qualcomm Ventures,https://www.qualcommventures.com,Seed Series A,"Technology AI IoT 5G",San Diego CA,
Comcast Ventures,https://www.comcastventures.com,Seed Series A Series B,"Technology Consumer Enterprise",San Francisco CA,
Citi Ventures,https://www.citi.com/ventures,Series A Series B,"Fintech Enterprise",San Francisco CA,
American Express Ventures,https://www.americanexpress.com/en-us/company/amex-ventures,Series A Series B,"Fintech Consumer Commerce",New York NY,
Lowercarbon Capital,https://lowercarboncapital.com,Seed Series A,"Climate Energy Technology",San Francisco CA,
Congruent Ventures,https://congruentvc.com,Seed Series A,"Climate Sustainability",San Francisco CA,
Prelude Ventures,https://www.preludeventures.com,Seed Series A,"Climate Energy Materials",San Francisco CA,
G2 Venture Partners,https://www.g2vp.com,Series A Series B,"Climate Sustainability Industry",Palo Alto CA,
Clean Energy Ventures,https://cleanenergyventures.com,Seed Series A,"Climate Energy",Boston MA,
Energy Impact Partners,https://www.energyimpactpartners.com,Seed Series A Series B,"Climate Energy Utility",New York NY,
S2G Ventures,https://s2gventures.com,Seed Series A,"Climate Food Agriculture",Chicago IL,
Breakthrough Energy Ventures,https://www.breakthroughenergy.org,Series A Series B,"Climate Energy",Kirkland WA,
System1 Biosciences,https://www.system1bio.com,Seed Series A,"Neuroscience Biotech",San Francisco CA,
Arch Venture Partners,https://www.archventure.com,Seed Series A,"Biotech Healthcare Deep Tech",Chicago IL,
ARCH Venture Partners,https://www.archventure.com,Seed Series A,"Biotech Life Sciences",Chicago IL,
Flagship Pioneering,https://www.flagshippioneering.com,Seed Series A Series B,"Biotech Healthcare AI",Cambridge MA,
Polaris Partners,https://www.polarispartners.com,Seed Series A Series B,"Healthcare Technology",Boston MA,
Third Rock Ventures,https://www.thirdrockventures.com,Seed Series A,"Biotech Healthcare",Boston MA,
OrbiMed,https://www.orbimed.com,Series A Series B Growth,"Healthcare Biotech",New York NY,
Venrock,https://www.venrock.com,Seed Series A Series B,"Healthcare Technology Enterprise",Palo Alto CA,
RA Capital Management,https://www.racap.com,Series A Series B,"Biotech Healthcare",Boston MA,
Section 32,https://www.section32.com,Seed Series A,"Healthcare AI Deep Tech",Palo Alto CA,
General Catalyst,https://www.generalcatalyst.com,Seed Series A Series B,"Technology Healthcare AI",Cambridge MA,
Lux Capital,https://www.luxcapital.com,Seed Series A Series B,"Deep Tech Science AI",New York NY,
Playground Global,https://playground.global,Seed Series A,"Deep Tech AI Robotics",Palo Alto CA,
Eclipse Ventures,https://www.eclipse.vc,Seed Series A Series B,"Industrial Technology Deep Tech",Palo Alto CA,
Root Ventures,https://root.vc,Seed Series A,"Hardware Deep Tech Robotics",San Francisco CA,
Lemnos,https://lemnos.vc,Seed,"Hardware Manufacturing Robotics",San Francisco CA,
Bolt,https://bolt.vc,Pre-Seed Seed,"Hardware Manufacturing Deep Tech",Boston MA,
HAX,https://hax.co,Pre-Seed Seed,"Hardware Robotics Manufacturing",San Francisco CA,
Khosla Ventures,https://www.khoslaventures.com,Seed Series A Series B,"Technology AI Climate",Menlo Park CA,
NEA (New Enterprise Associates),https://www.nea.com,Seed Series A Series B Growth,"Technology Healthcare Enterprise",Menlo Park CA,
Bessemer Venture Partners,https://www.bvp.com,Seed Series A Series B,"Enterprise Cloud Healthcare",San Francisco CA,
Battery Ventures,https://www.battery.com,Seed Series A Series B Growth,"Enterprise Technology",Boston MA,
Matrix Partners,https://www.matrixpartners.com,Seed Series A,"Enterprise Consumer SaaS",San Francisco CA,
GGV Capital,https://www.ggvc.com,Seed Series A Series B,"Enterprise Consumer",Menlo Park CA,
Bain Capital Ventures,https://www.baincapitalventures.com,Seed Series A Series B,"Enterprise SaaS Fintech",Boston MA,
Emergence Capital,https://www.emcap.com,Series A Series B,"Enterprise SaaS Cloud",San Mateo CA,
Wing Venture Capital,https://www.wing.vc,Seed Series A,"Enterprise Infrastructure",Palo Alto CA,
Thomvest Ventures,https://www.thomvest.com,Seed Series A Series B,"Fintech Enterprise",San Francisco CA,
Anthemis Group,https://www.anthemis.com,Seed Series A,"Fintech Insurance",New York NY,
Flourish Ventures,https://flourishventures.com,Seed Series A,"Fintech Financial Inclusion",San Francisco CA,
Greyhound Capital,https://www.greyhoundcapital.com,Seed Series A,"Fintech Consumer",London UK,
SemperVirens,https://www.sempervirens.vc,Seed Series A,"Fintech Consumer Enterprise",San Francisco CA,
Reinventure,https://reinventure.com.au,Seed Series A,"Fintech Technology",Sydney Australia,
Square Peg Capital,https://www.squarepegcap.com,Seed Series A Series B,"Technology Consumer Fintech",Melbourne Australia,
Blackbird Ventures,https://www.blackbird.vc,Pre-Seed Seed Series A,"Technology Consumer SaaS",Sydney Australia,
AirTree Ventures,https://www.airtree.vc,Seed Series A Series B,"Technology SaaS Consumer",Sydney Australia,
Right Click Capital,https://rightclick.com.au,Pre-Seed Seed,"Technology SaaS",Sydney Australia,
Afore Capital,https://afore.vc,Pre-Seed,"Technology SaaS Consumer",San Francisco CA,
The Chainsmokers (Mantis VC),https://mantis.vc,Pre-Seed Seed,"Consumer Technology Entertainment",Los Angeles CA,
The Fund,https://www.thefund.vc,Pre-Seed Seed,"Technology Consumer",New York NY,
Asymmetric Capital Partners,https://www.asymmetric.vc,Pre-Seed Seed,"Technology SaaS",San Francisco CA,
Hummingbird Ventures,https://www.hummingbird.vc,Seed Series A Series B,"Technology Consumer",Antwerp Belgium,
Kindred Capital,https://kindredcapital.vc,Seed Series A,"Technology SaaS Consumer",London UK,
Ada Ventures,https://www.adaventures.com,Pre-Seed Seed,"Technology Diversity Impact",London UK,
Playfair Capital,https://www.playfaircapital.com,Pre-Seed Seed,"Technology AI",London UK,
MMC Ventures,https://www.mmcventures.com,Seed Series A,"AI Technology SaaS",London UK,
Octopus Ventures,https://octopusventures.com,Seed Series A Series B,"Technology Healthcare Consumer",London UK,
Albion VC,https://albionvc.com,Seed Series A,"Technology Healthcare",London UK,
Ascension Ventures,https://www.ascensionventures.com,Pre-Seed Seed,"Technology Consumer",London UK,
Anthemis Digital Acquisitions,https://www.anthemis.com,Seed Series A,"Fintech InsurTech",London UK,
Felix Capital,https://www.felixcap.com,Seed Series A,"Consumer Technology Design",London UK,
DN Capital,https://www.dncapital.com,Seed Series A,"Technology Consumer SaaS",London UK,
Forward Partners,https://forwardpartners.com,Pre-Seed Seed,"Consumer Technology E-commerce",London UK,
VentureFriends,https://venturefriends.vc,Seed Series A,"Technology Consumer Fintech",Athens Greece,
Marathon Venture Capital,https://marathon.vc,Seed,"Technology Deep Tech",Athens Greece,
Blossom Capital,https://www.blossomcap.com,Seed Series A,"Technology SaaS",London UK,
Molten Ventures,https://www.moltenventures.com,Seed Series A Series B,"Technology Enterprise Deep Tech",London UK,
In-Q-Tel,https://www.iqt.org,Seed Series A,"Defense Intelligence Technology",Arlington VA,
Shield Capital,https://www.shieldcap.com,Seed Series A,"Defense Cybersecurity",Washington DC,
Lux Capital Defense,https://www.luxcapital.com,Seed Series A,"Defense Deep Tech",New York NY,
America's Frontier Fund,https://americasfrontierfund.com,Seed Series A,"Defense Industrial Deep Tech",Washington DC,
Razor's Edge Ventures,https://www.razorsedgeventures.com,Seed Series A,"Defense Enterprise",Arlington VA,
Shift4 Ventures,https://www.shift4.com,Seed Series A,"Fintech Payments",Allentown PA,
OMERS Ventures,https://www.omersventures.com,Series A Series B,"Technology SaaS Enterprise",Toronto Canada,
