name,website,stage,focus_areas,location,check_size
Ayar Labs Ventures,https://www.ayarlabs.com,Series A,"Semiconductors",Santa Clara CA,
B Capital Group,https://www.bcapgroup.com,Series A Series B,"Enterprise AI Fintech",Los Angeles CA,
Benson Oak Ventures,https://www.bensonoak.com,Seed Series A,"Deep Tech",Prague Czech Republic,
Bertelsmann Investments,https://www.bertelsmann-investments.com,Series A Series B,"Digital Media",New York NY,
BioAdvance,https://www.bioadvance.com,Seed,"Biotech Life Sciences",Philadelphia PA,
Blackbird Ventures,https://blackbird.vc,Seed Series A,"Technology",Sydney Australia,
Blisce,https://blisce.com,Series A Series B,"Consumer Tech",New York NY,
Blue Bear Capital,https://bluebearcap.com,Seed Series A,"Climate Energy",San Francisco CA,
Blue Future Partners,https://www.bluefuturepartners.com,Series A,"Deep Tech",Hong Kong,
Blue Pool Capital,https://www.bluepoolcapital.com,Growth,"Technology",Hong Kong,
Blue Yard Capital,https://blueyard.com,Seed Series A,"Decentralization Data",Berlin Germany,
Blume Ventures,https://www.blumeventures.com,Seed Series A,"Consumer Enterprise",Mumbai India,
Boost VC,https://www.boost.vc,Pre-Seed Seed,"Deep Tech VR Blockchain",San Mateo CA,
Bowery Capital,https://www.bowerycap.com,Seed Series A,"Enterprise SaaS",New York NY,
Brand Capital,https://www.brandcapital.co,Seed,"Consumer Brands",New York NY,
Bregal Sagemount,https://www.bregalsagemount.com,Growth,"Software Services",New York NY,
BSV Capital,https://www.bsvcapital.com,Pre-Seed Seed,"Enterprise",San Francisco CA,
Builder Ventures,https://www.buildervc.com,Seed Series A,"Consumer Enterprise",San Francisco CA,
Bullpen Capital,https://www.bullpencap.com,Seed Series A,"Enterprise Consumer",Menlo Park CA,
BVCA,https://www.bvca.co.uk,Series A Series B,"Technology",London UK,
Byte Ventures,https://www.byteventures.com,Pre-Seed Seed,"Deep Tech",London UK,
Caffeinated Capital,https://www.caffeinatedcapital.com,Seed,"Consumer Enterprise",San Francisco CA,
Calibrate Ventures,https://www.calibratevc.com,Seed Series A,"Enterprise SaaS",Los Angeles CA,
Camber Creek,https://cambercreek.com,Seed Series A,"Proptech",Washington DC,
Capital Factory,https://www.capitalfactory.com,Pre-Seed Seed,"Sector Agnostic",Austin TX,
Capricorn Investment Group,https://www.capricornllc.com,Series A Series B,"Climate Sustainability",Palo Alto CA,
Carey Albertine Ventures,https://www.careyalbertine.com,Pre-Seed Seed,"Consumer",New York NY,
Cascade Seed Fund,https://www.cascadeseedfund.com,Pre-Seed Seed,"Enterprise",Portland OR,
Cathay Innovation,https://www.cathayinnovation.com,Series A Series B,"Deep Tech AI",San Francisco CA,
Causeway Capital,https://www.causewaycapital.com,Growth,"Technology",London UK,
CedarFund,https://www.cedarfund.com,Seed Series A,"Enterprise SaaS",Portland OR,
Citi Ventures,https://www.citi.com/ventures,Series A Series B,"Fintech Enterprise",San Francisco CA,
Clocktower Technology Ventures,https://www.clocktowertech.com,Seed Series A,"Fintech",Santa Monica CA,
Cloud Apps Capital Partners,https://www.cloudappscapital.com,Series A,"SaaS Cloud",San Francisco CA,
Coefficient Capital,https://www.coefficientcap.com,Seed Series A,"Consumer D2C",New York NY,
Comcast Ventures,https://www.comcastventures.com,Seed Series A,"Enterprise Consumer",San Francisco CA,
Communitas Capital,https://communitascapital.com,Seed,"Sustainability",Boston MA,
Continental Investors,https://www.continentalinvestors.com,Series A Series B,"Enterprise SaaS",Chicago IL,
Conviction,https://conviction.com,Pre-Seed Seed,"AI",San Francisco CA,
Core Innovation Capital,https://www.coreinnovationcapital.com,Seed Series A,"Fintech",Los Angeles CA,
Crane Venture Partners,https://www.crane.vc,Seed Series A,"Enterprise SaaS",London UK,
Created Ventures,https://www.created.vc,Pre-Seed Seed,"Consumer",New York NY,
Crest Capital,https://crestcap.com,Growth,"Enterprise Software",New York NY,
CrunchFund,https://www.crunchfund.com,Seed,"Consumer Enterprise",San Francisco CA,
Dallas Venture Capital,https://www.dallasvc.com,Seed Series A,"Enterprise SaaS",Dallas TX,
Dawson Ventures,https://dawsonventures.com,Seed,"Enterprise",San Francisco CA,
Definition Capital,https://www.definitioncapital.com,Series A,"AI Data",New York NY,
Differential Ventures,https://differential.vc,Pre-Seed Seed,"AI ML",Miami FL,
Dig Ventures,https://dig.vc,Seed Series A,"Consumer Enterprise",New York NY,
DN Capital,https://www.dncapital.com,Seed Series A Series B,"Enterprise Consumer",London UK,
DocuSign Ventures,https://www.docusign.com/ventures,Series A,"Enterprise SaaS",San Francisco CA,
Draper Associates,https://www.draper.vc,Seed,"Sector Agnostic",San Mateo CA,
Draper Dragon,https://draperdragon.com,Seed Series A,"Cross-border Tech",San Mateo CA,
DST Global,https://dst.com,Series A Growth,"Internet Consumer",Hong Kong,
Dundee Venture Capital,https://dundeevc.com,Pre-Seed Seed,"Enterprise SaaS",Omaha NE,
E Ventures,https://www.eventures.vc,Series A Series B,"Enterprise Consumer",Berlin Germany San Francisco CA,
eCAPITAL,https://www.ecapital.com,Seed Series A,"Deep Tech Enterprise",Berlin Germany,
Edison Partners,https://www.edisonpartners.com,Growth,"Enterprise SaaS Fintech",Princeton NJ,
Eighteen Bridge Capital,https://www.eighteenbridge.com,Seed,"Enterprise AI",New York NY,
Elephant Partners,https://elephantpartners.com,Seed Series A,"Consumer Enterprise",New York NY,
Elev8 Venture Partners,https://www.elev8vp.com,Seed Series A,"Enterprise SaaS",Chicago IL,
Elevate Capital,https://www.elevatecapital.com,Pre-Seed Seed,"Diversity",Portland OR,
Elysium Ventures,https://www.elysiumventures.com,Seed Series A,"Enterprise",San Francisco CA,
Emerson Collective,https://www.emersoncollective.com,Seed Series A,"Impact Education",Palo Alto CA,
Engage Ventures,https://engage.vc,Seed Series A,"Enterprise SaaS",Atlanta GA,
Enterprise Ireland,https://www.enterprise-ireland.com,Seed Series A,"Enterprise",Dublin Ireland,
Equal Ventures,https://www.equal.vc,Seed Series A,"Consumer Enterprise",New York NY,
Equation Ventures,https://www.equationventures.com,Pre-Seed Seed,"AI",London UK,
Essence VC,https://www.essencevc.fund,Pre-Seed Seed,"Deep Tech",San Francisco CA,
Euclid Ventures,https://euclidtransact.com,Seed Series A,"Fintech B2B",New York NY,
Everlane Capital,https://www.everlanecapital.com,Seed,"Consumer",San Francisco CA,
Evolve Ventures,https://www.evolvevp.com,Seed Series A,"Food Agriculture",Chicago IL,
Experian Ventures,https://www.experian.com/ventures,Series A,"Fintech Data",Costa Mesa CA,
Falcon Edge Capital,https://falconedgecap.com,Series A Growth,"Technology",New York NY,
Fathom Capital,https://www.fathomcapital.co,Pre-Seed Seed,"Healthcare",New York NY,
Fifth Wall,https://fifthwall.com,Seed Series A,"Proptech Climate",Los Angeles CA,
Fin Capital,https://www.fincapital.com,Seed Series A,"Fintech",San Francisco CA,
FinTech Collective,https://www.fintechcollective.com,Seed Series A,"Fintech",New York NY,
Firework Ventures,https://www.fireworkventures.com,Pre-Seed Seed,"Consumer",New York NY,
Flight Ventures,https://www.flightvc.com,Pre-Seed Seed,"Enterprise",Palo Alto CA,
Footwork,https://www.footwork.vc,Pre-Seed Seed,"Consumer",San Francisco CA,
Foresite Capital,https://www.foresitecapital.com,Series A Series B,"Healthcare Biotech",San Francisco CA,
Forgepoint Capital,https://forgepointcap.com,Series A Series B,"Cybersecurity",San Francisco CA,
Formation 8,https://formation8.com,Seed Series A,"Deep Tech",San Francisco CA,
Forte Ventures,https://www.forteventures.com,Seed Series A,"Gaming Blockchain",San Francisco CA,
Forum Ventures,https://www.forumvc.com,Pre-Seed Seed,"B2B SaaS",New York NY,
Foundament Ventures,https://foundament.vc,Pre-Seed Seed,"Deep Tech",Berlin Germany,
FPV Ventures,https://www.fpvvc.com,Pre-Seed Seed,"Sector Agnostic",San Francisco CA,
Franklin Templeton Ventures,https://www.franklintempleton.com,Growth,"Fintech",New York NY,
Freestyle VC,https://freestyle.vc,Pre-Seed Seed,"Consumer Enterprise",San Francisco CA,
Frontline Ventures,https://www.frontline.vc,Seed Series A,"Enterprise SaaS",Dublin Ireland London UK,
Fuel Capital,https://fuelcapital.com,Seed,"Consumer",San Francisco CA,
Full In Partners,https://fullinpartners.com,Series A,"Enterprise SaaS",San Francisco CA,
Fusion Fund,https://www.fusionfund.com,Pre-Seed Seed,"Deep Tech AI",San Francisco CA,
Gaingels,https://www.gaingels.com,Seed,"Diversity LGBTQ",New York NY,
Gallery Capital Group,https://gallerycapital.com,Seed Series A,"Consumer Enterprise",New York NY,
Gambit Ventures,https://www.gambitventures.com,Seed,"Enterprise",New York NY,
General Advance,https://www.generaladvance.com,Seed,"Enterprise",Chicago IL,
Giant Ventures,https://www.giantventures.com,Seed Series A,"Climate Deep Tech",London UK,
Global Founders Capital,https://www.globalfounderscapital.com,Pre-Seed Seed Series A,"Sector Agnostic",Munich Germany,
Glynn Capital,https://www.glynncapital.com,Growth,"Technology",Menlo Park CA,
Goodwater Capital,https://www.goodwatercap.com,Seed Series A,"Consumer App Mobile",San Mateo CA,
Gramercy Ventures,https://www.gramercyventures.com,Seed,"Consumer",New York NY,
Great Oaks Venture Capital,https://www.greatoaksvc.com,Pre-Seed Seed,"Consumer Tech",New York NY,
Greenspring Associates,https://greenspringassociates.com,Series A Growth,"Technology",Baltimore MD,
Grid Ventures,https://www.gridventures.com,Seed,"Energy Climate",San Francisco CA,
Ground Up Ventures,https://www.groundup.vc,Pre-Seed Seed,"Enterprise SaaS",New York NY,
Grove Ventures,https://www.groveventures.com,Seed Series A,"Deep Tech",Tel Aviv Israel,
Gryphon Investors,https://www.gryphon-inv.com,Growth,"Consumer Services",San Francisco CA,
Guardian Capital,https://www.guardiancapital.com,Growth,"Fintech",Toronto Canada,
GV (Google Ventures),https://www.gv.com,Seed Series A,"Technology AI",San Francisco CA,
Hack VC,https://www.hack.vc,Seed Series A,"Crypto Web3",San Francisco CA,
Headline,https://headline.com,Series A Series B,"Enterprise SaaS",San Francisco CA Luxembourg,
Hearst Ventures,https://www.hearst.com/ventures,Series A,"Media Content",New York NY,
Hemi Ventures,https://www.hemiventures.com,Pre-Seed Seed,"Consumer",New York NY,
HERE Ventures,https://here.vc,Pre-Seed Seed,"Sector Agnostic",New York NY,
High Alpha,https://highalpha.com,Pre-Seed Seed Series A,"Enterprise SaaS",Indianapolis IN,
Horizon Ventures,https://www.horizonsventures.com,Seed Series A,"Deep Tech",Hong Kong,
Human Capital,https://www.humancapital.com,Seed,"Enterprise",San Francisco CA,
Huntington Capital,https://www.huntingtoncapitalpartners.com,Growth,"Enterprise",San Diego CA,
Hyde Park Venture Partners,https://hydeparkvp.com,Seed Series A,"Enterprise SaaS",Chicago IL,
I2BF Global Ventures,https://i2bf.com,Seed Series A,"Deep Tech",New York NY,
iGan Partners,https://iganpartners.com,Pre-Seed Seed,"Enterprise",Toronto Canada,
Impact Engine,https://theimpactengine.com,Seed Series A,"Impact",Chicago IL,
India Quotient,https://www.indiaquotient.in,Pre-Seed Seed,"Consumer Enterprise",Mumbai India,
Indie Bio,https://indiebio.co,Pre-Seed Seed,"Biotech",San Francisco CA,
Industry Ventures,https://industryventures.com,Multi-Stage,"Technology",San Francisco CA,
Information Venture Partners,https://www.ivp.ca,Seed Series A,"Fintech AI",Toronto Canada,
Innospark Ventures,https://www.innosparkventures.com,Pre-Seed Seed,"Climate Deep Tech",New York NY,
Innova Capital,https://www.innovacap.com,Growth,"Enterprise Software",Montreal Canada,
Intel Capital,https://www.intelcapital.com,Series A Series B,"Deep Tech AI",Santa Clara CA,
Interplay,https://www.interplay.vc,Seed,"Enterprise SaaS",New York NY,
Invest Detroit Ventures,https://investdetroit.com,Seed,"Sector Agnostic",Detroit MI,
Iris Capital,https://www.iriscapital.com,Series A Series B,"Enterprise AI",Paris France,
Isai,https://www.isai.fr,Seed Series A,"Consumer Enterprise",Paris France,
iSeed Ventures,https://www.iseedventures.com,Pre-Seed Seed,"Consumer Enterprise",Seoul South Korea,
Iteration Capital,https://iteration.vc,Seed,"Enterprise SaaS",San Francisco CA,
J.P. Morgan Growth Equity Partners,https://www.jpmorgan.com,Growth,"Fintech Enterprise",New York NY,
Jump Capital,https://jumpcap.com,Seed Series A,"Fintech Crypto",Chicago IL,
K5 Global,https://k5global.com,Seed,"Consumer Media",Los Angeles CA,
Kamet Ventures,https://www.kametventures.com,Pre-Seed Seed,"Insurtech Fintech",Paris France,
Kapor Capital,https://www.kaporcapital.com,Seed,"Impact Diversity",Oakland CA,
Kaszek Ventures,https://www.kaszek.com,Seed Series A,"Consumer Enterprise",Buenos Aires Argentina,
Kearny Jackson,https://www.kearnyjackson.com,Pre-Seed Seed,"Enterprise SaaS AI",San Francisco CA,
Keystroke Ventures,https://www.keystrokeventures.com,Pre-Seed Seed,"Enterprise",San Francisco CA,
Kindred Ventures,https://www.kindredventures.com,Pre-Seed Seed,"Consumer Enterprise",San Francisco CA,
Kingsbridge Capital,https://kingsbridgecapital.com,Growth,"Enterprise",New York NY,
KKR Growth,https://www.kkr.com,Growth,"Technology",New York NY,
Knollwood Investment Advisory,https://www.knollwoodadvisory.com,Growth,"Enterprise",New York NY,
Korelya Capital,https://www.korelyacapital.com,Series A,"Deep Tech",Paris France,
L1 Digital,https://l1digital.com,Seed Series A,"Crypto Web3",Zurich Switzerland,
Lachy Groom Ventures,https://www.lachygroom.com,Seed,"Fintech",San Francisco CA,
LAITR Health,https://www.laitr.health,Seed,"Healthcare AI",Boston MA,
Latitude Capital,https://www.latitudecap.com,Seed Series A,"Enterprise SaaS",San Francisco CA,
LDV Capital,https://ldv.co,Seed,"Computer Vision AI",New York NY,
Leap Global Partners,https://leap.global,Seed Series A,"Latin America Tech",San Jose Costa Rica,
Leaps by Bayer,https://leaps.bayer.com,Series A Series B,"Biotech Agriculture",Boston MA,
Lee Fixel Fund,https://www.leefund.com,Series A Growth,"Consumer Enterprise",New York NY,
Lemnos,https://www.lemnos.vc,Pre-Seed Seed,"Hardware Deep Tech",San Francisco CA,
Level Equity,https://www.levelequity.com,Growth,"Enterprise SaaS",New York NY,
Liberty Mutual Strategic Ventures,https://www.libertymutualventures.com,Series A,"Insurtech",Boston MA,
Lightbridge Capital,https://lightbridgecap.com,Seed Series A,"Enterprise",San Francisco CA,
Lightstone Ventures,https://www.lightstonevc.com,Series A,"Healthcare Biotech",Boston MA,
LL Funds,https://www.llfunds.com,Pre-Seed Seed,"Sector Agnostic",San Francisco CA,
Lool Ventures,https://www.lool.vc,Pre-Seed Seed,"Enterprise SaaS",Tel Aviv Israel,
Loopt Capital,https://www.looptcapital.com,Seed,"Consumer",San Francisco CA,
Luminate Capital Partners,https://luminatecap.com,Growth,"Enterprise SaaS",San Francisco CA,
Lunch Capital,https://www.lunchcapital.com,Pre-Seed Seed,"Enterprise AI",San Francisco CA,
Mangrove Capital Partners,https://www.mangrove.vc,Seed Series A,"Enterprise Consumer",Luxembourg,
Mantis VC,https://www.mantisvc.com,Pre-Seed Seed,"Consumer",Los Angeles CA,
Marbruck Investments,https://www.marbruck.com,Series A,"Enterprise",London UK,
MassVentures,https://www.mass-ventures.com,Seed,"Deep Tech",Boston MA,
Material Impact,https://www.materialimpact.com,Seed Series A,"Climate Sustainability",Boston MA,
Mayfield Fund,https://www.mayfield.com,Seed Series A Series B,"Enterprise Consumer AI",Menlo Park CA,
Meridia Capital,https://meridiacapital.com,Seed,"Fintech",New York NY,
MetaProp,https://www.metaprop.vc,Pre-Seed Seed,"Proptech",New York NY,
MFV Partners,https://mfvpartners.com,Seed Series A,"Consumer Enterprise",New York NY,
Mindset Ventures,https://www.mindsetventures.com,Series A,"Deep Tech",Tel Aviv Israel,
Mistral Venture Partners,https://www.mistralvp.com,Seed Series A,"Enterprise SaaS",Boston MA,
Moment Ventures,https://momentventures.com,Seed Series A,"Enterprise SaaS",San Francisco CA,
Montage Ventures,https://montageventures.com,Seed,"AI",San Francisco CA,
Morado Ventures,https://moradoventure.com,Seed Series A,"Consumer Enterprise",Austin TX,
Morgan Creek Digital Assets,https://www.morgancreekdigital.com,Seed Series A,"Crypto Blockchain",Chapel Hill NC,
MSD Capital,https://www.msdcapital.com,Growth,"Technology",New York NY,
MTP Partners,https://www.mtppartners.com,Seed,"Enterprise",San Francisco CA,
Murata Electronics Ventures,https://www.murata.com,Series A,"Hardware IoT",Tokyo Japan,
Narrative Capital,https://www.narrative.vc,Pre-Seed Seed,"Consumer Enterprise",San Francisco CA,
Nearside Ventures,https://nearside.vc,Pre-Seed Seed,"Climate Deep Tech",New York NY,
Neos Ventures,https://www.neosvc.com,Seed,"Enterprise SaaS",London UK,
Neptune Fund,https://neptunefund.com,Seed,"Climate Ocean",San Francisco CA,
Neuberger Berman Innovation,https://www.nb.com,Growth,"Technology",New York NY,
NEXT47,https://www.next47.com,Seed Series A Series B,"Deep Tech Enterprise",Palo Alto CA,
Nineteen Studios,https://www.nineteenstudios.com,Pre-Seed Seed,"Consumer",Los Angeles CA,
Nokia Growth Partners,https://ngp.com,Series A Series B,"Technology IoT",Menlo Park CA,
Nordic Makers,https://www.nordicmakers.vc,Pre-Seed Seed,"Enterprise SaaS",Stockholm Sweden,
North Bridge Venture Partners,https://www.northbridge.com,Series A Series B,"Enterprise SaaS",Waltham MA,
Notation Capital,https://notation.vc,Pre-Seed Seed,"Enterprise AI",Brooklyn NY,
Notion Capital,https://www.notioncapital.com,Seed Series A,"Enterprise SaaS",London UK,
Novus Capital,https://www.novuscapitalcorporation.com,Growth,"Technology",New York NY,
NVentures (NVIDIA),https://www.nvidia.com/en-us/about-nvidia/nventures,Series A Series B,"AI GPU Deep Tech",Santa Clara CA,
Oak HC/FT,https://www.oakhcft.com,Series A Series B,"Healthcare Fintech",Greenwich CT,
Obvious Ventures,https://obvious.com,Seed Series A,"Climate Sustainability",San Francisco CA,
Octopus Ventures,https://www.octopusventures.com,Seed Series A,"Enterprise Consumer",London UK,
OpenView Partners,https://openviewpartners.com,Series A Series B,"Product-Led Growth SaaS",Boston MA,
Operator Collective,https://www.operatorcollective.com,Seed,"Enterprise B2B",San Francisco CA,
Optum Ventures,https://www.optumventures.com,Series A,"Healthcare",Eden Prairie MN,
Oxford Sciences Innovation,https://www.osicapital.com,Seed Series A,"Deep Tech",Oxford UK,
Palm Drive Capital,https://www.palmdrivecapital.com,Seed Series A,"Consumer Enterprise SaaS",San Francisco CA,
Panache Ventures,https://panache.vc,Pre-Seed Seed,"Sector Agnostic",Calgary Canada,
Panoramic Ventures,https://www.panoramic.vc,Seed Series A,"Enterprise Consumer",Atlanta GA,
Parameter Ventures,https://www.parameter.vc,Seed,"AI ML",San Francisco CA,
Parkway Venture Capital,https://parkwayvc.com,Series A Series B,"Enterprise SaaS",San Jose CA,
Patrick J. McGovern Foundation Ventures,https://www.mcgovern.org,Seed,"AI Impact",Boston MA,
Peak Capital,https://peak.capital,Seed,"Enterprise SaaS",Amsterdam Netherlands,
PeakSpan Capital,https://peakspancapital.com,Growth,"B2B SaaS",New York NY,
Pegasus Tech Ventures,https://pegasusventures.com,Seed Series A,"Enterprise Deep Tech",San Jose CA,
Pencon Ventures,https://www.penconventures.com,Seed,"Enterprise",Chicago IL,
PhocusWright,https://www.phocuswright.com,Series A,"Travel Hospitality",New York NY,
Pi Campus,https://picampus.it,Pre-Seed Seed,"AI Deep Tech",Rome Italy,
Pillar VC,https://www.pillar.vc,Seed Series A,"Enterprise SaaS",Boston MA,
Pitango Venture Capital,https://www.pitango.com,Seed Series A Series B,"Enterprise Consumer",Herzliya Israel,
Pivot North Capital,https://www.pivotnorthcapital.com,Pre-Seed Seed,"Enterprise",San Francisco CA,
Plain Ventures,https://plain.vc,Pre-Seed Seed,"SaaS Enterprise",San Francisco CA,
Playfair Capital,https://www.playfaircapital.com,Pre-Seed Seed,"AI Enterprise",London UK,
Plaza Ventures,https://www.plazaventures.com,Seed,"Enterprise Consumer",Toronto Canada,
Polychain Capital,https://www.polychain.capital,Seed Series A,"Crypto Web3",San Francisco CA,
Presight Capital,https://www.presightcapital.com,Growth,"Technology AI",Abu Dhabi UAE,
Product Hunt Venture Fund,https://www.producthunt.com,Seed,"Consumer Products",San Francisco CA,
Propel Venture Partners,https://www.propelventures.com,Seed Series A,"Fintech Enterprise",San Francisco CA,
Pure Storage Ventures,https://www.purestorage.com,Series A,"Infrastructure Storage",Mountain View CA,
Quadrille Capital,https://www.quadrille.com,Growth,"Technology",London UK,
Quiet Capital,https://quiet.com,Seed,"Consumer Enterprise",Los Angeles CA,
Reach Capital,https://www.reachcapital.com,Seed Series A,"Edtech",Palo Alto CA,
React Capital,https://www.reactcapital.com,Seed,"Enterprise AI",San Francisco CA,
Rebar Ventures,https://www.rebarventures.com,Seed,"Construction Tech",San Francisco CA,
Red Dog Capital,https://www.reddogcapital.com,Seed,"Enterprise",San Francisco CA,
Relay Ventures,https://www.relayventures.com,Seed Series A,"Enterprise Consumer",Toronto Canada,
Renegade Partners,https://renegade.vc,Seed,"Enterprise Consumer",San Francisco CA,
Resolute Ventures,https://www.resolutevc.com,Pre-Seed Seed,"Enterprise SaaS",San Francisco CA,
Rex Capital,https://www.rexcapital.com,Seed Series A,"Consumer Enterprise",New York NY,
Ripple Ventures,https://www.rippleventures.com,Pre-Seed Seed,"Enterprise SaaS",Toronto Canada,
Rise of the Rest,https://revolution.com/rise-of-the-rest,Seed,"Sector Agnostic",Washington DC,
Riverwood Capital,https://riverwoodcapital.com,Growth,"Technology",Menlo Park CA,
Rockaway Capital,https://rockawaycapital.com,Seed Series A,"Consumer Enterprise",Prague Czech Republic,
Root Ventures,https://root.vc,Pre-Seed Seed,"Hardware Deep Tech",San Francisco CA,
Rough Draft Ventures,https://www.roughdraft.vc,Pre-Seed Seed,"Student Enterprise",Boston MA,
RTF (Round Table Ventures),https://rtf.vc,Seed,"Sector Agnostic",New York NY,
Salesforce Ventures,https://www.salesforceventures.com,Series A Series B Growth,"Enterprise SaaS",San Francisco CA,
Samsung NEXT,https://www.samsungnext.com,Seed Series A,"Enterprise Consumer",San Francisco CA,
Sanabil Investments,https://www.sanabil.com,Series A Growth,"Technology",Riyadh Saudi Arabia,
Scale Venture Partners,https://www.scalevp.com,Series A Series B,"Enterprise SaaS",San Francisco CA,
Scrum Ventures,https://www.scrumventures.com,Seed Series A,"Enterprise IoT",San Francisco CA,
Seae Ventures,https://www.seaeventures.com,Pre-Seed Seed,"Climate",New York NY,
SharesPost Growth Fund,https://sharespost.com,Growth,"Technology",San Francisco CA,
Shima Capital,https://www.shimacapital.com,Seed Series A,"Crypto Web3",San Francisco CA,
Sinai Ventures,https://www.sinaivc.com,Seed Series A,"Consumer Enterprise",New York NY San Francisco CA,
SixThirty,https://sixthirty.co,Pre-Seed Seed,"Fintech Insurtech",St. Louis MO,
SK Ventures,https://www.skvp.com,Pre-Seed Seed,"Enterprise AI",New York NY,
Skyline Ventures,https://www.skylineventures.com,Series A Series B,"Healthcare Biotech",Palo Alto CA,
Snap Ventures,https://snap.vc,Pre-Seed Seed,"Consumer Enterprise",New York NY,
SoftTech VC,https://www.softtechvc.com,Pre-Seed Seed,"Consumer Enterprise",San Francisco CA,
SoGal Ventures,https://www.sogalventures.com,Pre-Seed Seed,"Diversity Female Founders",Los Angeles CA,
Sovereign Capital,https://www.sovereigncap.com,Growth,"Enterprise",Oklahoma City OK,
SpeedUp Venture Capital,https://speedupgroup.com,Seed Series A,"Enterprise Consumer",Milan Italy,
Springcoast Capital,https://springcoast.vc,Seed,"Enterprise SaaS",Stockholm Sweden,
Spruce Capital Partners,https://sprucecap.com,Seed Series A,"Consumer Enterprise",New York NY,
Stage 2 Capital,https://www.stage2capital.com,Series A,"B2B SaaS",New York NY,
Starlight Ventures,https://starlightventures.com,Seed,"Deep Tech",Boston MA,
Starta Ventures,https://startaventures.com,Pre-Seed Seed,"Enterprise",New York NY,
Steel Perlot,https://steelperlot.com,Seed,"Enterprise SaaS",San Francisco CA,
Sterling Road,https://www.sterlingroad.com,Pre-Seed Seed,"Enterprise SaaS",San Francisco CA,
Stone Point Capital,https://www.stonepoint.com,Growth,"Fintech Services",Greenwich CT,
Stratos,https://www.stratosvc.com,Pre-Seed Seed,"Consumer Enterprise",Los Angeles CA,
Sunstone Life Science Ventures,https://www.sunstone.eu,Seed Series A,"Life Sciences",Copenhagen Denmark,
Super Capital,https://www.supercapital.com,Pre-Seed Seed,"Impact",London UK,
Susquehanna Growth Equity,https://www.sgep.com,Growth,"Enterprise Technology",Bala Cynwyd PA,
SVB Capital,https://www.svb.com/svb-capital,Series A Growth,"Technology",Santa Clara CA,
